,Holder,Shares,Date Reported,% Out,Value,Ticker,%Shares
2,Price (T.Rowe) Associates Inc,33766750,2021-06-29,0.053,1197368955,TCOM,14.0
3,Blackrock Inc.,21368460,2021-06-29,0.0335,757725591,TCOM,8.0
4,"Vanguard Group, Inc. (The)",18386894,2021-06-29,0.0288,651999261,TCOM,7.0
5,"Wellington Management Group, LLP",17580532,2021-06-29,0.0276,623405664,TCOM,7.0
6,Credit Suisse AG,14686316,2021-06-29,0.023,520776765,TCOM,6.0
7,FIL LTD,13550982,2021-06-29,0.0213,480517821,TCOM,5.0
8,Capital International Investors,11301830,2021-06-29,0.0177,400762891,TCOM,4.0
9,State Street Corporation,9514286,2021-06-29,0.0149,337376581,TCOM,3.0
0,"Vanguard Group, Inc. (The)",58596739,2021-03-30,0.0608,39138519880,TSLA,23.0
1,Blackrock Inc.,50242363,2021-03-30,0.052199999999999996,33558381518,TSLA,20.0
2,Capital World Investors,40925678,2021-03-30,0.0425,27335488106,TSLA,16.0
3,State Street Corporation,29430587,2021-03-30,0.030600000000000002,19657571974,TSLA,12.0
4,Baillie Gifford and Company,16216060,2021-03-30,0.0168,10831192955,TSLA,6.0
5,"Geode Capital Management, LLC",11971355,2021-03-30,0.0124,7996027145,TSLA,4.0
6,Jennison Associates LLC,10739998,2021-03-30,0.0111,7173566864,TSLA,4.0
7,"FMR, LLC",10708950,2021-03-30,0.0111,7152828973,TSLA,4.0
8,Northern Trust Corporation,8262415,2021-03-30,0.0086,5518714850,TSLA,3.0
9,Norges Bank Investment Management,7790070,2020-12-30,0.008100000000000001,5497218696,TSLA,3.0
0,"Vanguard Group, Inc. (The)",83889579,2021-06-29,0.0909,16131966041,TXN,24.0
1,Blackrock Inc.,71027719,2021-06-29,0.07690000000000001,13658630363,TXN,21.0
2,State Street Corporation,39023751,2021-06-29,0.042300000000000004,7504267317,TXN,11.0
3,JP Morgan Chase & Company,23412465,2021-06-29,0.0254,4502217019,TXN,6.0
4,Bank of America Corporation,23198776,2021-06-29,0.025099999999999997,4461124624,TXN,6.0
5,Bank Of New York Mellon Corporation,21966052,2021-06-29,0.023799999999999998,4224071799,TXN,6.0
6,Primecap Management Company,19703319,2021-06-29,0.0213,3788948243,TXN,5.0
7,"Wellington Management Group, LLP",18998059,2021-06-29,0.0206,3653326745,TXN,5.0
8,Massachusetts Financial Services Co.,18794346,2021-06-29,0.0204,3614152735,TXN,5.0
9,"Geode Capital Management, LLC",16698271,2021-06-29,0.0181,3211077513,TXN,4.0
0,Softbank Group Corporation,106291623,2021-06-29,0.0852,15394215759,TMUS,32.0
1,"Vanguard Group, Inc. (The)",43181915,2021-06-29,0.0346,6254036749,TMUS,13.0
2,Blackrock Inc.,40686690,2021-06-29,0.0326,5892653312,TMUS,12.0
3,"FMR, LLC",37069856,2021-06-29,0.0297,5368827244,TMUS,11.0
4,State Street Corporation,24864777,2021-06-29,0.0199,3601165652,TMUS,7.0
5,Price (T.Rowe) Associates Inc,23637420,2021-06-29,0.0189,3423407538,TMUS,7.0
6,Norges Bank Investment Management,22341262,2020-12-30,0.0179,3012719180,TMUS,6.0
7,Dodge & Cox Inc,11324513,2021-06-29,0.0091,1640129217,TMUS,3.0
8,"Geode Capital Management, LLC",10300232,2021-06-29,0.0083,1491782600,TMUS,3.0
9,"Neuberger Berman Group, LLC",8334601,2021-06-29,0.0067,1207100262,TMUS,2.0
0,"Berkshire Hathaway, Inc",12815613,2021-06-29,0.11460000000000001,2917986923,VRSN,22.0
1,"Vanguard Group, Inc. (The)",10442986,2021-06-29,0.0933,2377763482,VRSN,18.0
2,Blackrock Inc.,8968891,2021-06-29,0.0802,2042126791,VRSN,15.0
3,Capital International Investors,5797927,2021-06-29,0.0518,1320129998,VRSN,10.0
4,"Renaissance Technologies, LLC",4841290,2021-06-29,0.0433,1102313320,VRSN,8.0
5,State Street Corporation,3899710,2021-06-29,0.0349,887924969,VRSN,6.0
6,Ninety One UK Ltd,3277233,2021-06-29,0.029300000000000003,746193181,VRSN,5.0
7,Price (T.Rowe) Associates Inc,2864127,2021-06-29,0.0256,652133076,VRSN,4.0
8,"Principal Financial Group, Inc.",2739498,2021-06-29,0.0245,623756299,VRSN,4.0
9,"Geode Capital Management, LLC",2053190,2021-06-29,0.0184,467490831,VRSN,3.0
0,"Vanguard Group, Inc. (The)",16971053,2021-06-29,0.1052,2965182380,VRSK,27.0
1,Blackrock Inc.,11351441,2021-06-29,0.0704,1983323771,VRSK,18.0
2,Massachusetts Financial Services Co.,7207774,2021-06-29,0.0447,1259342273,VRSK,11.0
3,State Street Corporation,6863173,2021-06-29,0.0425,1199133586,VRSK,11.0
4,"AllianceBernstein, L.P.",3852848,2021-06-29,0.0239,673169602,VRSK,6.0
5,Price (T.Rowe) Associates Inc,3393512,2021-06-29,0.021,592914416,VRSK,5.0
6,"FMR, LLC",3291954,2021-06-29,0.0204,575170202,VRSK,5.0
7,"Geode Capital Management, LLC",3019317,2021-06-29,0.0187,527535066,VRSK,4.0
8,Flossbach von Storch AG,2959725,2021-06-29,0.0183,517123152,VRSK,4.0
9,"Franklin Resources, Inc.",2763155,2021-06-29,0.0171,482778441,VRSK,4.0
0,Blackrock Inc.,23360089,2021-06-29,0.09,4710094745,VRTX,21.0
1,"Vanguard Group, Inc. (The)",20249218,2021-06-29,0.0781,4082849825,VRTX,18.0
2,Price (T.Rowe) Associates Inc,13098492,2021-06-29,0.050499999999999996,2641048941,VRTX,11.0
3,State Street Corporation,11705823,2021-06-29,0.0451,2360245091,VRTX,10.0
4,Capital World Investors,11015378,2021-06-29,0.0425,2221030666,VRTX,10.0
5,"Wellington Management Group, LLP",8295689,2021-06-29,0.032,1672659773,VRTX,7.0
6,"AllianceBernstein, L.P.",6378432,2021-06-29,0.0246,1286083244,VRTX,5.0
7,"FMR, LLC",5834063,2021-06-29,0.0225,1176322122,VRTX,5.0
8,"ClearBridge Investments, LLC",4982594,2021-06-29,0.0192,1004640428,VRTX,4.0
9,Capital International Investors,4549003,2021-06-29,0.0175,917215474,VRTX,4.0
0,"Vanguard Group, Inc. (The)",58320795,2021-03-30,0.0675,3201811645,WBA,23.0
1,Blackrock Inc.,56869775,2021-03-30,0.0658,3122150647,WBA,23.0
2,State Street Corporation,44862094,2021-03-30,0.0519,2462928960,WBA,18.0
3,Capital World Investors,21387237,2021-03-30,0.024700000000000003,1174159311,WBA,8.0
4,"FMR, LLC",15923521,2021-03-30,0.0184,874201302,WBA,6.0
5,"Geode Capital Management, LLC",11415810,2021-03-30,0.0132,626727969,WBA,4.0
6,"Aristotle Capital Management, LLC",9420509,2021-03-30,0.0109,517185944,WBA,3.0
7,Northern Trust Corporation,8857094,2021-03-30,0.0102,486254460,WBA,3.0
8,Bank Of New York Mellon Corporation,8310363,2021-03-30,0.0096,456238928,WBA,3.0
9,Dimensional Fund Advisors LP,7954325,2021-03-30,0.0092,436692442,WBA,3.0
0,"Vanguard Group, Inc. (The)",11592653,2021-06-29,0.0738,2767629977,WDAY,17.0
1,Blackrock Inc.,10291949,2021-06-29,0.06559999999999999,2457099904,WDAY,15.0
2,Baillie Gifford and Company,10037462,2021-06-29,0.0639,2396343677,WDAY,14.0
3,"Wellington Management Group, LLP",7162589,2021-06-29,0.045599999999999995,1709996497,WDAY,10.0
4,Price (T.Rowe) Associates Inc,6870720,2021-06-29,0.0438,1640315692,WDAY,10.0
5,"FMR, LLC",4602525,2021-06-29,0.029300000000000003,1098806818,WDAY,6.0
6,Morgan Stanley,4253904,2021-06-29,0.0271,1015577040,WDAY,6.0
7,JP Morgan Chase & Company,4227550,2021-06-29,0.0269,1009285287,WDAY,6.0
8,"Tiger Global Management, LLC",4127450,2021-06-29,0.0263,985387413,WDAY,6.0
9,State Street Corporation,4025569,2021-06-29,0.0256,961064343,WDAY,5.0
0,Blackrock Inc.,47707627,2021-03-30,0.0928,3173034271,XEL,19.0
1,"Vanguard Group, Inc. (The)",47625363,2021-03-30,0.0926,3167562893,XEL,19.0
2,JP Morgan Chase & Company,37619013,2021-03-30,0.0732,2502040554,XEL,15.0
3,Magellan Asset Management Ltd,35843484,2021-03-30,0.0697,2383950120,XEL,14.0
4,State Street Corporation,26634296,2021-03-30,0.0518,1771447026,XEL,10.0
5,Capital World Investors,13504769,2021-03-30,0.0263,898202186,XEL,5.0
6,Capital International Investors,10077017,2021-03-30,0.0196,670222400,XEL,4.0
7,"Geode Capital Management, LLC",9933491,2021-03-30,0.019299999999999998,660676486,XEL,4.0
8,Massachusetts Financial Services Co.,7856771,2021-03-30,0.015300000000000001,522553839,XEL,3.0
9,Wells Fargo & Company,6714281,2021-03-30,0.0131,446566829,XEL,2.0
0,"Vanguard Group, Inc. (The)",26473823,2021-06-29,0.107,3829173758,XLNX,30.0
1,Blackrock Inc.,20719105,2021-06-29,0.0837,2996811347,XLNX,24.0
2,State Street Corporation,11639081,2021-06-29,0.047,1683476675,XLNX,13.0
3,"AllianceBernstein, L.P.",6623601,2021-06-29,0.0268,958037648,XLNX,7.0
4,"Geode Capital Management, LLC",4400048,2021-06-29,0.0178,636422942,XLNX,5.0
5,Price (T.Rowe) Associates Inc,4133240,2021-06-29,0.0167,597831833,XLNX,4.0
6,Canada Pension Plan Investment Board,2997982,2021-06-29,0.0121,433628116,XLNX,3.0
7,Northern Trust Corporation,2971992,2021-06-29,0.012,429868922,XLNX,3.0
8,Norges Bank Investment Management,2929992,2020-12-30,0.0118,415384965,XLNX,3.0
9,"Franklin Resources, Inc.",2823246,2021-06-29,0.011399999999999999,408354301,XLNX,3.0
0,Price (T.Rowe) Associates Inc,12537274,2021-03-30,0.0529,4028100763,ZM,17.0
1,"Vanguard Group, Inc. (The)",12402941,2021-03-30,0.0524,3984940913,ZM,17.0
2,Morgan Stanley,11642461,2021-03-30,0.0492,3740606294,ZM,16.0
3,Blackrock Inc.,11251610,2021-03-30,0.0475,3615029776,ZM,16.0
4,Baillie Gifford and Company,8100660,2021-03-30,0.0342,2602661051,ZM,11.0
5,State Street Corporation,3927768,2021-03-30,0.0166,1261952580,ZM,5.0
6,"ARK Investment Management, LLC",3002347,2021-03-30,0.0127,964624067,ZM,4.0
7,"Renaissance Technologies, LLC",2520863,2021-03-30,0.0106,809928073,ZM,3.0
8,"Tiger Global Management, LLC",2450204,2021-03-30,0.0103,787226043,ZM,3.0
9,"Geode Capital Management, LLC",2369440,2021-03-30,0.01,761277377,ZM,3.0
