,Holder,Shares,Date Reported,% Out,Value,Ticker,%Shares
7,Capital Research Global Investors,39342809,2021-06-29,0.0165,13679888117,FB,4.0
8,"Geode Capital Management, LLC",38810686,2021-06-29,0.0163,13494863629,FB,4.0
9,Norges Bank Investment Management,29365846,2020-12-30,0.0123,8021574493,FB,3.0
0,Blackrock Inc.,50920609,2021-06-29,0.0824,7213922677,FIS,21.0
1,"Vanguard Group, Inc. (The)",48987486,2021-06-29,0.0793,6940057141,FIS,20.0
2,Capital International Investors,25265736,2021-06-29,0.0409,3579396819,FIS,10.0
3,State Street Corporation,24505262,2021-06-29,0.0397,3471660467,FIS,10.0
4,Price (T.Rowe) Associates Inc,24206929,2021-06-29,0.0392,3429395631,FIS,10.0
5,Massachusetts Financial Services Co.,18209897,2021-06-29,0.029500000000000002,2579796107,FIS,7.0
6,"Wellington Management Group, LLP",16252652,2021-06-29,0.0263,2302513208,FIS,6.0
7,"Ameriprise Financial, Inc.",10454025,2021-06-29,0.0169,1481021721,FIS,4.0
8,"Geode Capital Management, LLC",9868133,2021-06-29,0.016,1398018402,FIS,4.0
9,Morgan Stanley,9386746,2021-06-29,0.0152,1329820305,FIS,3.0
0,"Vanguard Group, Inc. (The)",17182649,2021-06-29,0.0684,604829244,FOX,20.0
1,Dodge & Cox Inc,13158141,2021-06-29,0.052300000000000006,463166563,FOX,15.0
2,Blackrock Inc.,11463510,2021-06-29,0.045599999999999995,403515552,FOX,13.0
3,Price (T.Rowe) Associates Inc,11073238,2021-06-29,0.044000000000000004,389777977,FOX,12.0
4,Yacktman Asset Management Lp,8612594,2021-06-29,0.034300000000000004,303163308,FOX,10.0
5,State Street Corporation,7057071,2021-06-29,0.0281,248408899,FOX,8.0
6,Manufacturers Life Insurance Co.,5831669,2021-06-29,0.0232,205274748,FOX,6.0
7,"American Century Companies, Inc.",5494267,2021-06-29,0.0219,193398198,FOX,6.0
8,Norges Bank Investment Management,3117448,2020-12-30,0.0124,90031898,FOX,3.0
9,"Geode Capital Management, LLC",2626374,2021-06-29,0.0104,92448364,FOX,3.0
0,Dodge & Cox Inc,48721900,2021-06-29,0.1507,1809044147,FOXA,25.0
1,Blackrock Inc.,41283868,2021-06-29,0.1277,1532870018,FOXA,21.0
2,"Vanguard Group, Inc. (The)",34218979,2021-06-29,0.1058,1270550690,FOXA,17.0
3,"Independent Franchise Partners, LLP",23745726,2021-06-29,0.07339999999999999,881678806,FOXA,12.0
4,State Street Corporation,15030576,2021-06-29,0.04650000000000001,558085286,FOXA,7.0
5,Ninety One UK Ltd,9289814,2021-06-29,0.0287,344930793,FOXA,4.0
6,"Geode Capital Management, LLC",6510100,2021-06-29,0.020099999999999996,241720013,FOXA,3.0
7,Bank of America Corporation,5330594,2021-06-29,0.0165,197924955,FOXA,2.0
8,Northern Trust Corporation,4844470,2021-06-29,0.015,179875171,FOXA,2.0
9,"Ameriprise Financial, Inc.",4600600,2021-06-29,0.014199999999999999,170820278,FOXA,2.0
0,Blackrock Inc.,123804538,2021-06-29,0.0987,8525180486,GILD,22.0
1,Capital Research Global Investors,116671555,2021-06-29,0.0931,8034003277,GILD,21.0
2,"Vanguard Group, Inc. (The)",105017942,2021-06-29,0.08380000000000001,7231535486,GILD,18.0
3,State Street Corporation,54299659,2021-06-29,0.0433,3739074518,GILD,9.0
4,Capital International Investors,39436987,2021-06-29,0.0315,2715630924,GILD,7.0
5,Capital World Investors,35987335,2021-06-29,0.0287,2478087888,GILD,6.0
6,Dodge & Cox Inc,28961844,2021-06-29,0.0231,1994312577,GILD,5.0
7,"Geode Capital Management, LLC",21915321,2021-06-29,0.0175,1509089004,GILD,3.0
8,Northern Trust Corporation,15080884,2021-06-29,0.012,1038469672,GILD,2.0
9,Norges Bank Investment Management,13174527,2020-12-30,0.0105,767547943,GILD,2.0
0,"Vanguard Group, Inc. (The)",21522942,2021-03-30,0.0672,44523003509,GOOG,23.0
1,Blackrock Inc.,19432407,2021-03-30,0.060700000000000004,40198460092,GOOG,21.0
2,Price (T.Rowe) Associates Inc,13284493,2021-03-30,0.0415,27480700754,GOOG,14.0
3,State Street Corporation,10762314,2021-03-30,0.0336,22263245609,GOOG,11.0
4,"FMR, LLC",7884134,2021-03-30,0.0246,16309356116,GOOG,8.0
5,"Geode Capital Management, LLC",4491336,2021-03-30,0.013999999999999999,9290912389,GOOG,4.0
6,Capital International Investors,4105991,2021-03-30,0.0128,8493776162,GOOG,4.0
7,Northern Trust Corporation,3818440,2021-03-30,0.011899999999999999,7898939537,GOOG,4.0
8,JP Morgan Chase & Company,3594116,2021-03-30,0.011200000000000002,7434896181,GOOG,3.0
9,"AllianceBernstein, L.P.",3285355,2021-06-29,0.0103,8234150943,GOOG,3.0
0,"Vanguard Group, Inc. (The)",22785085,2021-03-30,0.0757,46994693514,GOOGL,23.0
1,Blackrock Inc.,20560019,2021-03-30,0.0683,42405450387,GOOGL,20.0
2,"FMR, LLC",13016151,2021-03-30,0.0432,26846071760,GOOGL,13.0
3,State Street Corporation,11085426,2021-03-30,0.0368,22863912833,GOOGL,11.0
4,Price (T.Rowe) Associates Inc,7329607,2021-03-30,0.024300000000000002,15117461029,GOOGL,7.0
5,"Wellington Management Group, LLP",5656543,2021-03-30,0.018799999999999997,11666733068,GOOGL,5.0
6,Norges Bank Investment Management,5433638,2020-12-30,0.018000000000000002,9523211304,GOOGL,5.0
7,"Geode Capital Management, LLC",4939735,2021-03-30,0.016399999999999998,10188302232,GOOGL,5.0
8,Capital Research Global Investors,4000201,2021-03-30,0.013300000000000001,8250494566,GOOGL,4.0
9,Bank of America Corporation,3732342,2021-03-30,0.0124,7698030021,GOOGL,3.0
0,"Vanguard Group, Inc. (The)",56017241,2021-06-29,0.08070000000000001,12287381813,HON,22.0
1,Blackrock Inc.,39762160,2021-06-29,0.0572,8721829796,HON,16.0
2,State Street Corporation,34743548,2021-06-29,0.05,7620997253,HON,14.0
3,Capital World Investors,22990903,2021-06-29,0.0331,5043054573,HON,9.0
4,Massachusetts Financial Services Co.,22174618,2021-06-29,0.0319,4864002458,HON,8.0
5,Bank of America Corporation,19553559,2021-06-29,0.0282,4289073166,HON,7.0
6,Newport Trust Co,16745307,2021-06-29,0.0241,3673083090,HON,6.0
7,Morgan Stanley,12135673,2021-06-29,0.0175,2661959872,HON,4.0
8,"Wellington Management Group, LLP",11464831,2021-06-29,0.0165,2514810679,HON,4.0
9,"Geode Capital Management, LLC",11328599,2021-06-29,0.0163,2484928190,HON,4.0
0,Baillie Gifford and Company,19834762,2020-12-30,0.1359,7338861940,ILMN,27.0
1,"Vanguard Group, Inc. (The)",11330232,2020-12-30,0.0776,4192185840,ILMN,15.0
2,Blackrock Inc.,11253386,2020-12-30,0.0771,4163752820,ILMN,15.0
3,Edgewood Management Company,6946312,2020-12-30,0.047599999999999996,2570135440,ILMN,9.0
4,State Street Corporation,5882448,2020-12-30,0.0403,2176505760,ILMN,8.0
5,Bank Of New York Mellon Corporation,3697826,2020-12-30,0.0253,1368195620,ILMN,5.0
6,"Loomis Sayles & Company, LP",3502074,2020-12-30,0.024,1295767380,ILMN,4.0
7,"Sands Capital Management, LLC",2952911,2020-12-30,0.0202,1092577070,ILMN,4.0
8,Morgan Stanley,2861215,2020-12-30,0.0196,1058649550,ILMN,4.0
9,Janus Henderson Group PLC,2738465,2020-12-30,0.018799999999999997,1013232050,ILMN,3.0
0,"Baker Brothers Advisors, LLC",32001387,2021-03-30,0.14550000000000002,2600752721,INCY,22.0
1,Price (T.Rowe) Associates Inc,30058822,2021-03-30,0.1367,2442880463,INCY,21.0
2,"Vanguard Group, Inc. (The)",20409783,2021-03-30,0.0928,1658703064,INCY,14.0
3,Blackrock Inc.,17675289,2021-03-30,0.08039999999999999,1436470737,INCY,12.0
4,"Wellington Management Group, LLP",12949220,2021-03-30,0.058899999999999994,1052383109,INCY,9.0
5,State Street Corporation,8351249,2021-03-30,0.038,678706006,INCY,5.0
6,Capital International Investors,5502635,2021-03-30,0.025,447199146,INCY,3.0
7,"Renaissance Technologies, LLC",4898733,2021-03-30,0.0223,398120030,INCY,3.0
8,Dodge & Cox Inc,4317392,2021-03-30,0.0196,350874447,INCY,3.0
9,"Geode Capital Management, LLC",3383226,2021-03-30,0.0154,274954777,INCY,2.0
0,"Vanguard Group, Inc. (The)",337719509,2021-06-29,0.0832,18959573235,INTC,27.0
1,Blackrock Inc.,323686641,2021-06-29,0.07980000000000001,18171768025,INTC,26.0
2,State Street Corporation,171543571,2021-06-29,0.042300000000000004,9630456075,INTC,14.0
3,Capital International Investors,105043103,2021-06-29,0.0259,5897119802,INTC,8.0
4,"Geode Capital Management, LLC",76627150,2021-06-29,0.0189,4301848201,INTC,6.0
5,Northern Trust Corporation,50375058,2021-06-29,0.0124,2828055756,INTC,4.0
6,Norges Bank Investment Management,42975850,2020-12-30,0.0106,2141056847,INTC,3.0
7,Bank Of New York Mellon Corporation,39791313,2021-06-29,0.0098,2233884311,INTC,3.0
8,Dimensional Fund Advisors LP,38924754,2021-06-29,0.0096,2185235689,INTC,3.0
9,Primecap Management Company,34918555,2021-06-29,0.0086,1960327677,INTC,2.0
0,Blackrock Inc.,23146353,2021-03-30,0.08470000000000001,8866441980,INTU,21.0
1,Price (T.Rowe) Associates Inc,22586386,2021-03-30,0.0827,8651941021,INTU,21.0
2,"Vanguard Group, Inc. (The)",21310321,2021-03-30,0.078,8163131562,INTU,20.0
3,State Street Corporation,10621380,2021-03-30,0.038900000000000004,4068625822,INTU,9.0
4,"FMR, LLC",6740616,2021-03-30,0.024700000000000003,2582060364,INTU,6.0
5,Edgewood Management Company,6161271,2021-03-30,0.0225,2360136469,INTU,5.0
6,Fundsmith LLP,4577260,2021-03-30,0.0168,1753365215,INTU,4.0
7,"Geode Capital Management, LLC",4352130,2021-03-30,0.0159,1667126917,INTU,4.0
8,Brown Advisory Inc.,3497516,2021-03-30,0.0128,1339758478,INTU,3.0
9,Invesco Ltd.,3286941,2021-03-30,0.012,1259095619,INTU,3.0
0,Price (T.Rowe) Associates Inc,9600092,2020-12-30,0.08109999999999999,7853835265,ISRG,17.0
1,"Vanguard Group, Inc. (The)",9127891,2020-12-30,0.0771,7467527627,ISRG,16.0
2,Blackrock Inc.,8888304,2020-12-30,0.0751,7271521502,ISRG,16.0
3,Morgan Stanley,5606930,2020-12-30,0.047400000000000005,4587029433,ISRG,10.0
4,"FMR, LLC",5170385,2020-12-30,0.0437,4229891968,ISRG,9.0
5,State Street Corporation,4739104,2020-12-30,0.04,3877060982,ISRG,8.0
6,Capital World Investors,3813232,2020-12-30,0.0322,3119605099,ISRG,6.0
7,Edgewood Management Company,3174097,2020-12-30,0.0268,2596728755,ISRG,5.0
8,Bank Of New York Mellon Corporation,3073903,2020-12-30,0.026000000000000002,2514760044,ISRG,5.0
9,"AllianceBernstein, L.P.",1980019,2020-12-30,0.0167,1619853543,ISRG,3.0
0,"FMR, LLC",117625888,2021-06-29,0.14279999999999998,6861118047,MRVL,27.0
1,"Vanguard Group, Inc. (The)",72661015,2021-06-29,0.0882,4238317004,MRVL,17.0
2,Blackrock Inc.,68877008,2021-06-29,0.0836,4017595876,MRVL,16.0
3,Price (T.Rowe) Associates Inc,41201091,2021-06-29,0.05,2403259638,MRVL,9.0
4,"Wellington Management Group, LLP",39620985,2021-06-29,0.0481,2311092055,MRVL,9.0
5,Bank of America Corporation,24080369,2021-06-29,0.0292,1404607923,MRVL,5.0
6,State Street Corporation,17998859,2021-06-29,0.0219,1049873445,MRVL,4.0
7,"Goldman Sachs Group, Inc.",15934967,2021-06-29,0.019299999999999998,929486625,MRVL,3.0
8,"Ameriprise Financial, Inc.",14134480,2021-06-29,0.0172,824464218,MRVL,3.0
9,Allianz Asset Management GmbH,13319481,2021-06-29,0.016200000000000003,776925326,MRVL,3.0
0,"Vanguard Group, Inc. (The)",9065541,2021-06-29,0.1066,5725342418,IDXX,26.0
1,Blackrock Inc.,8274891,2021-06-29,0.0973,5226007411,IDXX,23.0
2,Fundsmith LLP,4242462,2021-06-29,0.0499,2679326876,IDXX,12.0
3,State Street Corporation,3629537,2021-06-29,0.042699999999999995,2292234092,IDXX,10.0
4,BAMCO Inc.,2696326,2021-06-29,0.0317,1702864685,IDXX,7.0
5,"Geode Capital Management, LLC",1711457,2021-06-29,0.020099999999999996,1080870668,IDXX,4.0
6,"Blair (William) & Company, L.L.C.",1349965,2021-06-29,0.0159,852570395,IDXX,3.0
7,"Franklin Resources, Inc.",1305965,2021-06-29,0.0154,824782195,IDXX,3.0
8,Bank of America Corporation,1243936,2021-06-29,0.0146,785607780,IDXX,3.0
9,"AllianceBernstein, L.P.",1231970,2021-06-29,0.014499999999999999,778050653,IDXX,3.0
0,"Tiger Global Management, LLC",51650366,2021-03-30,0.038599999999999995,4355675364,JD,20.0
1,Blackrock Inc.,45440552,2021-03-30,0.0339,3832001750,JD,17.0
2,Invesco Ltd.,35462678,2021-03-30,0.0265,2990567635,JD,13.0
3,"Vanguard Group, Inc. (The)",31053657,2021-03-30,0.0232,2618754894,JD,12.0
4,GQG Partners LLC,19549530,2021-03-30,0.0146,1648611864,JD,7.0
5,State Street Corporation,17967444,2021-03-30,0.0134,1515194552,JD,7.0
6,"FMR, LLC",15621565,2021-03-30,0.011699999999999999,1317366576,JD,6.0
7,Schroder Investment Management Group,15252850,2021-03-30,0.011399999999999999,1286272840,JD,5.0
8,"D1 Capital Partners, LP",12016558,2021-03-30,0.009000000000000001,1013356336,JD,4.0
9,Norges Bank Investment Management,11144439,2020-12-30,0.0083,979596188,JD,4.0
0,"BDT Capital Partners, LLC",114419980,2021-06-29,0.08130000000000001,4032160095,KDP,25.0
1,Capital Research Global Investors,58520901,2021-06-29,0.0416,2062276551,KDP,12.0
2,Capital World Investors,48464646,2021-06-29,0.0344,1707894125,KDP,10.0
3,Harris Associates L.P.,46363431,2021-06-29,0.0329,1633847308,KDP,10.0
4,Capital International Investors,45086484,2021-06-29,0.032,1588847696,KDP,9.0
5,"Vanguard Group, Inc. (The)",39004204,2021-06-29,0.0277,1374508148,KDP,8.0
6,Blackrock Inc.,30440432,2021-06-29,0.0216,1072720823,KDP,6.0
7,"FMR, LLC",28040471,2021-06-29,0.0199,988146198,KDP,6.0
8,Price (T.Rowe) Associates Inc,26217719,2021-06-29,0.018600000000000002,923912417,KDP,5.0
9,State Street Corporation,14738396,2021-06-29,0.0105,519381075,KDP,3.0
0,"Vanguard Group, Inc. (The)",15668447,2021-06-29,0.10310000000000001,5079867201,KLAC,22.0
1,Blackrock Inc.,11172457,2021-06-29,0.0735,3622222283,KLAC,16.0
2,Primecap Management Company,8105984,2021-06-29,0.0533,2628041072,KLAC,11.0
3,Capital International Investors,7642131,2021-06-29,0.050300000000000004,2477655291,KLAC,11.0
4,State Street Corporation,6221740,2021-06-29,0.0409,2017150325,KLAC,9.0
5,"Wellington Management Group, LLP",5449577,2021-06-29,0.0359,1766807359,KLAC,7.0
6,Price (T.Rowe) Associates Inc,4558166,2021-06-29,0.03,1477802998,KLAC,6.0
7,Janus Henderson Group PLC,3687498,2021-06-29,0.024300000000000002,1195523726,KLAC,5.0
8,"FMR, LLC",3306996,2021-06-29,0.0218,1072161173,KLAC,4.0
9,"Geode Capital Management, LLC",2441699,2021-06-29,0.0161,791623232,KLAC,3.0
0,"Berkshire Hathaway, Inc",325634818,2021-06-29,0.2662,13279387878,KHC,60.0
1,"Vanguard Group, Inc. (The)",53744645,2021-06-29,0.043899999999999995,2191706623,KHC,9.0
2,Blackrock Inc.,44695230,2021-06-29,0.0365,1822671479,KHC,8.0
3,State Street Corporation,29674042,2021-06-29,0.024300000000000002,1210107432,KHC,5.0
4,Invesco Ltd.,18257166,2021-06-29,0.0149,744527229,KHC,3.0
5,Capital International Investors,17269823,2021-06-29,0.0141,704263381,KHC,3.0
6,Capital Research Global Investors,15433645,2021-06-29,0.0126,629384043,KHC,2.0
7,"Geode Capital Management, LLC",11677953,2021-06-29,0.0095,476226923,KHC,2.0
8,Lsv Asset Management,10786341,2021-06-29,0.0088,439866985,KHC,2.0
9,"Franklin Resources, Inc.",10447625,2021-06-29,0.0085,426054147,KHC,1.0
0,"Vanguard Group, Inc. (The)",11532700,2021-06-29,0.0812,7504327890,LRCX,20.0
1,Blackrock Inc.,11237031,2021-06-29,0.07919999999999999,7311936071,LRCX,19.0
2,"FMR, LLC",7877634,2021-06-29,0.0555,5125976443,LRCX,13.0
3,JP Morgan Chase & Company,6034717,2021-06-29,0.0425,3926790351,LRCX,10.0
4,State Street Corporation,5858935,2021-06-29,0.041299999999999996,3812409004,LRCX,10.0
5,"Ameriprise Financial, Inc.",4936792,2021-06-29,0.0348,3212370554,LRCX,8.0
6,Janus Henderson Group PLC,3510158,2021-06-29,0.024700000000000003,2284059810,LRCX,6.0
7,"Geode Capital Management, LLC",2298038,2021-06-29,0.016200000000000003,1495333326,LRCX,4.0
8,Massachusetts Financial Services Co.,1858421,2021-06-29,0.0131,1209274544,LRCX,3.0
9,Northern Trust Corporation,1629835,2021-06-29,0.0115,1060533634,LRCX,2.0
0,"FMR, LLC",18769108,2021-06-29,0.1506,6850161346,LULU,30.0
1,"Vanguard Group, Inc. (The)",8715815,2021-06-29,0.0699,3181011000,LULU,13.0
2,Price (T.Rowe) Associates Inc,8628764,2021-06-29,0.0692,3149239997,LULU,13.0
3,Blackrock Inc.,6567772,2021-06-29,0.0527,2397039746,LULU,10.0
4,"WCM Investment Management, LLC",5434939,2021-06-29,0.0436,1983589686,LULU,8.0
5,Jennison Associates LLC,4685165,2021-06-29,0.037599999999999995,1709944670,LULU,7.0
6,"Wellington Management Group, LLP",3482098,2021-06-29,0.0279,1270861307,LULU,5.0
7,State Street Corporation,2811232,2021-06-29,0.0226,1026015343,LULU,4.0
8,Morgan Stanley,1768772,2021-06-29,0.014199999999999999,645548716,LULU,2.0
9,Capital World Investors,1555411,2021-06-29,0.0125,567678352,LULU,2.0
0,Baillie Gifford and Company,4638532,2021-03-30,0.09300000000000001,6828568498,MELI,23.0
1,Capital Research Global Investors,3354048,2021-03-30,0.0673,4937628222,MELI,16.0
2,Capital World Investors,2314423,2021-03-30,0.0464,3407154675,MELI,11.0
3,JP Morgan Chase & Company,1935860,2021-03-30,0.0388,2849856940,MELI,9.0
4,"WCM Investment Management, LLC",1780375,2021-03-30,0.035699999999999996,2620961252,MELI,8.0
5,Blackrock Inc.,1624161,2021-03-30,0.0326,2390992374,MELI,8.0
6,Jennison Associates LLC,1520310,2021-03-30,0.0305,2238109163,MELI,7.0
7,"Sands Capital Management, LLC",1149630,2021-03-30,0.0231,1692416308,MELI,5.0
8,Ubs Asset Management Americas Inc,769603,2021-03-30,0.0154,1132963360,MELI,3.0
9,"Lone Pine Capital, LLC",715152,2021-03-30,0.0143,1052803865,MELI,3.0
0,"Vanguard Group, Inc. (The)",19583346,2021-03-30,0.0604,2900489376,MAR,18.0
1,"FMR, LLC",16476498,2021-03-30,0.0508,2440334118,MAR,15.0
2,Blackrock Inc.,16172861,2021-03-30,0.0499,2395362442,MAR,15.0
3,State Street Corporation,11283981,2021-03-30,0.0348,1671270425,MAR,10.0
4,Eagle Capital Management LLC,11195833,2021-03-30,0.0345,1658214825,MAR,10.0
5,Price (T.Rowe) Associates Inc,10201418,2021-03-30,0.031400000000000004,1510932019,MAR,9.0
6,Capital World Investors,5536513,2021-03-30,0.0171,820012940,MAR,5.0
7,JP Morgan Chase & Company,4751234,2021-03-30,0.0146,703705267,MAR,4.0
8,Massachusetts Financial Services Co.,4583603,2021-03-30,0.0141,678877440,MAR,4.0
9,Capital Research Global Investors,4257626,2021-03-30,0.0131,630596986,MAR,4.0
0,Price (T.Rowe) Associates Inc,29363946,2021-06-29,0.1061,4734936292,MTCH,20.0
1,"Vanguard Group, Inc. (The)",23040787,2021-06-29,0.0832,3715326903,MTCH,16.0
2,Jennison Associates LLC,20152966,2021-06-29,0.0728,3249665767,MTCH,14.0
3,Blackrock Inc.,16563420,2021-06-29,0.059800000000000006,2670851475,MTCH,11.0
4,Edgewood Management Company,13597154,2021-06-29,0.049100000000000005,2192541082,MTCH,9.0
5,JP Morgan Chase & Company,11547124,2021-06-29,0.0417,1861973745,MTCH,8.0
6,"Lone Pine Capital, LLC",7746500,2021-06-29,0.027999999999999997,1249123125,MTCH,5.0
7,"FMR, LLC",7319890,2021-06-29,0.0264,1180332262,MTCH,5.0
8,Massachusetts Financial Services Co.,6700580,2021-06-29,0.0242,1080468525,MTCH,4.0
9,"Sands Capital Management, LLC",6466930,2021-06-29,0.023399999999999997,1042792462,MTCH,4.0
0,"Vanguard Group, Inc. (The)",30922920,2021-06-29,0.1128,4630398040,MCHP,24.0
1,Blackrock Inc.,19640465,2021-06-29,0.0717,2940963229,MCHP,15.0
2,Price (T.Rowe) Associates Inc,17938410,2021-06-29,0.0655,2686097513,MCHP,13.0
3,Dodge & Cox Inc,14555412,2021-06-29,0.053099999999999994,2179527392,MCHP,11.0
4,State Street Corporation,10400980,2021-06-29,0.038,1557442745,MCHP,8.0
5,"Aristotle Capital Management, LLC",9067840,2021-06-29,0.0331,1357818361,MCHP,7.0
6,Bank of America Corporation,8723419,2021-06-29,0.0318,1306244761,MCHP,6.0
7,JP Morgan Chase & Company,6696914,2021-06-29,0.024399999999999998,1002795902,MCHP,5.0
8,"Principal Financial Group, Inc.",5447214,2021-06-29,0.0199,815665824,MCHP,4.0
9,Janus Henderson Group PLC,4979258,2021-06-29,0.0182,745594092,MCHP,3.0
0,"Vanguard Group, Inc. (The)",113027986,2021-06-29,0.0809,7057467445,MDLZ,24.0
1,Blackrock Inc.,90039986,2021-06-29,0.0644,5622096725,MDLZ,19.0
2,State Street Corporation,61955886,2021-06-29,0.0443,3868525521,MDLZ,13.0
3,"Wellington Management Group, LLP",40893142,2021-06-29,0.029300000000000003,2553367786,MDLZ,8.0
4,Capital World Investors,37186438,2021-06-29,0.026600000000000002,2321921188,MDLZ,8.0
5,Lindsell Train Limited,29893035,2021-06-29,0.021400000000000002,1866521105,MDLZ,6.0
6,JP Morgan Chase & Company,27254645,2021-06-29,0.0195,1701780033,MDLZ,5.0
7,"Geode Capital Management, LLC",22545690,2021-06-29,0.0161,1407752883,MDLZ,4.0
8,Bank of America Corporation,20454259,2021-06-29,0.0146,1277163931,MDLZ,4.0
9,Northern Trust Corporation,19943417,2021-06-29,0.0143,1245266957,MDLZ,4.0
0,Baillie Gifford and Company,45883213,2021-06-29,0.1137,10781637390,MRNA,31.0
1,Flagship Pioneering Inc.,20581016,2021-06-29,0.051,4836127139,MRNA,14.0
2,"Vanguard Group, Inc. (The)",20194904,2021-06-29,0.05,4745398541,MRNA,14.0
3,Blackrock Inc.,19390725,2021-06-29,0.048,4556432560,MRNA,13.0
4,Morgan Stanley,7421497,2021-06-29,0.0184,1743903365,MRNA,5.0
5,State Street Corporation,7325576,2021-06-29,0.0181,1721363848,MRNA,5.0
6,"FMR, LLC",7215019,2021-06-29,0.0179,1695385164,MRNA,5.0
7,"Coatue Management, LLC",6140904,2021-06-29,0.0152,1442989621,MRNA,4.0
8,"Theleme Partners, LLP",6072056,2021-06-29,0.015,1426811718,MRNA,4.0
9,"Lone Pine Capital, LLC",3990897,2021-06-29,0.009899999999999999,937780977,MRNA,2.0
0,"FMR, LLC",30247801,2021-06-29,0.0572,2763136621,MNST,16.0
1,"Vanguard Group, Inc. (The)",29173678,2021-06-29,0.0552,2665015485,MNST,16.0
2,Blackrock Inc.,24449495,2021-06-29,0.0462,2233461368,MNST,13.0
3,"Loomis Sayles & Company, LP",20875354,2021-06-29,0.0395,1906963587,MNST,11.0
4,"AllianceBernstein, L.P.",16831004,2021-06-29,0.0318,1537512215,MNST,9.0
5,State Street Corporation,16008926,2021-06-29,0.030299999999999997,1462415390,MNST,8.0
6,"Wellington Management Group, LLP",13495474,2021-06-29,0.0255,1232811549,MNST,7.0
7,JP Morgan Chase & Company,10107934,2021-06-29,0.0191,923359770,MNST,5.0
8,Nuveen Asset Management,8983514,2021-06-29,0.017,820644003,MNST,5.0
9,"ClearBridge Investments, LLC",8698886,2021-06-29,0.016399999999999998,794643236,MNST,4.0
0,"Vanguard Group, Inc. (The)",610974647,2021-06-29,0.08130000000000001,165513031872,MSFT,26.0
1,Blackrock Inc.,505662500,2021-06-29,0.0673,136983971250,MSFT,21.0
2,State Street Corporation,294824958,2021-06-29,0.0392,79868081122,MSFT,12.0
3,"FMR, LLC",218007132,2021-06-29,0.028999999999999998,59058132058,MSFT,9.0
4,Price (T.Rowe) Associates Inc,192408922,2021-06-29,0.0256,52123576969,MSFT,8.0
5,"Geode Capital Management, LLC",123322145,2021-06-29,0.016399999999999998,33407969080,MSFT,5.0
6,Capital World Investors,110830050,2021-06-29,0.0147,30023860545,MSFT,4.0
7,Capital Research Global Investors,94576657,2021-06-29,0.0126,25620816381,MSFT,4.0
8,Capital International Investors,92898047,2021-06-29,0.0124,25166080932,MSFT,3.0
9,Northern Trust Corporation,88583941,2021-06-29,0.0118,23997389616,MSFT,3.0
0,"Vanguard Group, Inc. (The)",88019606,2021-03-30,0.0785,7764209445,MU,21.0
1,Blackrock Inc.,86193412,2021-03-30,0.07690000000000001,7603120872,MU,20.0
2,Primecap Management Company,45428589,2021-03-30,0.0405,4007255835,MU,11.0
3,State Street Corporation,45310723,2021-03-30,0.0404,3996858875,MU,11.0
4,"FMR, LLC",42290128,2021-03-30,0.0377,3730412190,MU,10.0
5,"Sanders Capital, Llc",33615669,2021-03-30,0.03,2965238162,MU,8.0
6,Capital International Investors,19223000,2021-03-30,0.0171,1695660830,MU,4.0
7,Price (T.Rowe) Associates Inc,18100053,2021-03-30,0.0161,1596605675,MU,4.0
8,"Geode Capital Management, LLC",17961485,2021-03-30,0.016,1584382591,MU,4.0
9,"Arrowstreet Capital, Limited Partnership",14707734,2021-03-30,0.0131,1297369216,MU,3.0
0,"Vanguard Group, Inc. (The)",33258535,2021-03-30,0.075,17349647368,NFLX,17.0
1,Blackrock Inc.,28807148,2021-03-30,0.065,15027536825,NFLX,15.0
2,Capital Research Global Investors,28535689,2021-03-30,0.0644,14885927523,NFLX,14.0
3,Price (T.Rowe) Associates Inc,19517596,2021-03-30,0.044000000000000004,10181549129,NFLX,10.0
4,"FMR, LLC",19423985,2021-03-30,0.0438,10132716015,NFLX,10.0
5,Capital International Investors,16886545,2021-03-30,0.0381,8809035064,NFLX,8.0
6,State Street Corporation,15842738,2021-03-30,0.035699999999999996,8264522705,NFLX,8.0
7,Capital World Investors,13500195,2021-03-30,0.0304,7042511723,NFLX,7.0
8,Baillie Gifford and Company,8187881,2021-03-30,0.018500000000000003,4271290002,NFLX,4.0
9,Jennison Associates LLC,7317164,2021-03-30,0.0165,3817071772,NFLX,3.0
0,Blackrock Inc.,24527858,2021-06-29,0.0366,2826835634,NTES,21.0
1,Orbis Allan Gray Ltd,18471776,2021-06-29,0.0275,2128872184,NTES,15.0
2,Invesco Ltd.,17304927,2021-06-29,0.0258,1994392836,NTES,14.0
3,Ubs Asset Management Americas Inc,12261966,2021-06-29,0.0183,1413191581,NTES,10.0
4,"Vanguard Group, Inc. (The)",10780589,2021-06-29,0.0161,1242462882,NTES,9.0
5,Baillie Gifford and Company,8357535,2021-06-29,0.0125,963205908,NTES,7.0
6,State Street Corporation,7992271,2021-06-29,0.011899999999999999,921109232,NTES,6.0
7,JP Morgan Chase & Company,6193686,2021-06-29,0.0092,713822311,NTES,5.0
8,Massachusetts Financial Services Co.,5418779,2021-06-29,0.008100000000000001,624514279,NTES,4.0
9,Norges Bank Investment Management,4780258,2020-12-30,0.0070999999999999995,457805308,NTES,4.0
0,"Vanguard Group, Inc. (The)",193272804,2021-06-29,0.0776,38659392620,NVDA,23.0
